# R	1+B(z)	B(z)_err
1.659924545226307557e-01 1.172070620509546135e+00 3.255371649018112823e-02
2.617879159030696012e-01 1.105862742095312434e+00 2.480269315652578951e-02
4.128676397367759265e-01 1.069862150845299453e+00 1.387778991029169941e-02
6.511365788363243645e-01 1.051963282531845456e+00 9.186196586846689938e-03
1.026912267982496907e+00 1.030874067978887254e+00 5.581015334484641308e-03
1.619550859848154722e+00 1.021275067246231627e+00 4.057903048809020051e-03
2.554205524088260404e+00 1.015516808319750774e+00 3.894063326178510542e-03
4.028256241298072027e+00 1.010021685525443580e+00 2.617989993284449736e-03
6.352992424659774429e+00 1.009911070107407660e+00 2.235918808010920258e-03
1.001935088786174610e+01 1.009807866122799380e+00 1.877756362999364248e-03
1.580159167582702118e+01 1.006822459642980228e+00 1.312255548659542947e-03
